,Status,Reference,Value,Footprint,LCSC,Part,Manufacturer,Description,Datasheet/Listing
1,Basic,C1,22uF,C0805,C45783,CL21A226MAQNNNE,SAMSUNG(三星),,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A226MAQNNNE_22uF-226-20-25V_C45783.html
2,Basic,C2,1uF,C_0402,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf
3,Basic,C3,100nF,C_0402,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
4,Basic,C4,100nF,C_0402,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
5,Basic,C5,4.7uF,C_0402,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf
6,Basic,C6,2.2uF,C_0603,C23630,CL10A225KO8NNNC,Samsung Electro-Mechanics,16V 2.2uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf
7,Basic,C7,1uF,C_0402,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf
8,Basic,C8,4.7uF,C_0402,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf
9,Basic,C9,100nF,C_0402,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
10,Basic,C10,100nF,C_0402,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf
